id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
38795,37992800B82526494497621,KHM,Battambang,0.39,0.39,15654372.37,8037821.366,103.0992309945406,12.982449369684675
38796,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
38798,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
38876,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
38956,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
49331,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,200736.77,200736.77,104.86483422636606,11.561507597941345
49332,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,142157.12,142157.12,104.86483422636606,11.561507597941345
49566,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
61161,37992800B83627159640807,KHM,Phnom Penh,0.13,0.13,29743346.01,45537290.1,104.86483422636606,11.561507597941345
61161,37992800B57023840568534,KHM,Kandal,0.07,0.07,15032500.49,45537290.1,105.0182459497186,11.423555503235097
61161,37992800B99989691305421,KHM,Kampot,0.36,0.36,81047914.85,45537290.1,104.30976469850025,10.79553380996349
61161,37992800B77204168518017,KHM,Takeo,0.19,0.19,44001508.15,45537290.1,104.81641679047027,10.940266063636825
61161,37992800B46036584412355,KHM,Kampong Speu,0.25,0.25,57861181.01,45537290.1,104.29259044093132,11.536152424815365
61162,37992800B83627159640807,KHM,Phnom Penh,0.17,0.17,48946258.07,35338037.5,104.86483422636606,11.561507597941345
61162,37992800B57023840568534,KHM,Kandal,0.82,0.82,232731637.74,35338037.5,105.0182459497186,11.423555503235097
61162,37992800B66153290508063,KHM,Kampong Chhnang,0.0,0.0,43641.06,35338037.5,104.55842050621244,12.168579337675359
61162,37992800B62393256715912,KHM,Kampong Cham,0.0,0.0,107726.52,35338037.5,105.27248930685768,12.126383394917431
61162,37992800B42158555562772,KHM,Prey Veng,0.0,0.0,568073.86,35338037.5,105.42413097422452,11.395998652685332
61162,37992800B77204168518017,KHM,Takeo,0.0,0.0,131864.1,35338037.5,104.81641679047027,10.940266063636825
61162,37992800B46036584412355,KHM,Kampong Speu,0.0,0.0,91695.02,35338037.5,104.29259044093132,11.536152424815365
61162,63759600B46141220358660,VNM,An Giang,0.0,0.0,82040.21,35338037.5,105.19034833286756,10.526302159129063
61163,37992800B83627159640807,KHM,Phnom Penh,0.16,0.16,13105893.39,28038234.43,104.86483422636606,11.561507597941345
61163,37992800B57023840568534,KHM,Kandal,0.41,0.41,34280791.47,28038234.43,105.0182459497186,11.423555503235097
61163,37992800B62393256715912,KHM,Kampong Cham,0.44,0.44,36728018.44,28038234.43,105.27248930685768,12.126383394917431
61775,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,68946203.86,68946203.86,104.86483422636606,11.561507597941345
61781,37992800B83627159640807,KHM,Phnom Penh,0.0,0.0,23757.4,4085689.4990909095,104.86483422636606,11.561507597941345
61781,37992800B57023840568534,KHM,Kandal,0.11,0.11,5139485.69,4085689.4990909095,105.0182459497186,11.423555503235097
61781,37992800B66153290508063,KHM,Kampong Chhnang,0.19,0.19,8591968.07,4085689.4990909095,104.55842050621244,12.168579337675359
61781,37992800B62393256715912,KHM,Kampong Cham,0.0,0.0,7279.5,4085689.4990909095,105.27248930685768,12.126383394917431
61781,37992800B82444097829687,KHM,Kratie,0.0,0.0,8453.91,4085689.4990909095,106.16912619819603,12.629129188242059
61781,37992800B42158555562772,KHM,Prey Veng,0.17,0.17,7588861.51,4085689.4990909095,105.42413097422452,11.395998652685332
