shapeID_adm1,shapeName_adm1,shapeID_adm2,shapeName_adm2,intersection_ratio,shapeGroup
46179711B67626682469511,Giza Governorate,37247803B74669546915316,Kardasa,0.9999999999999998,EGY
14911670B6484683145874,Goias,56859067B64953351303571,Goiânia,0.9999999999999998,BRA
28173009B27844369294009,Novosibirsk Oblast,50074027B18253095483754,Novosibirsk,0.9999999999999998,RUS
86620642B32971775067484,White Nile,16777658B3487648242534,Kosti,0.9999999999999998,SDN
69750345B92565988218409,Ashanti Region,2480657B10806173713075,Old Tafo Municipal,0.9999999999999998,GHA
27671186B36221103315467,Benue,59680162B13650355505793,Tarka,0.9999999999999998,NGA
28173009B38848907206629,Yaroslavl Oblast,50074027B50723374068736,Yaroslavsky District,0.9999999999999998,RUS
69750345B91661082288531,Greater Accra Region,2480657B77934780741907,Okaikwei North Municipal,0.9999999999999998,GHA
11528761B58908339710294,Saint Andrew,35162164B28230343509230,New Kingston,0.9999999999999998,JAM
69750345B85357852540435,Volta Region,2480657B20696154785284,Adaklu,0.9999999999999998,GHA
27671186B90910891533368,Enugu,59680162B72641942292242,Enugu North,0.9999999999999998,NGA
14911670B46470234103867,Sao Paulo,56859067B81397849661237,Lençóis Paulista,0.9999999999999998,BRA
27671186B54051914323789,Kaduna,59680162B7149387462115,Sabon Gari,0.9999999999999998,NGA
28173009B57295377776076,Khabarovsk Krai,50074027B51031481762719,Komsomolsk-on-Amur,0.9999999999999998,RUS
11528761B58908339710294,Saint Andrew,35162164B77793812605243,Constant Spring Gardens,0.9999999999999998,JAM
13205935B88806172084765,Tunis,11933810B23225476199680,العمران,0.9999999999999998,TUN
27671186B54051914323789,Kaduna,59680162B83099166959131,Igabi,0.9999999999999998,NGA
11528761B58908339710294,Saint Andrew,35162164B53154080329110,Swallowfield,0.9999999999999998,JAM
27671186B7584771598694,Bauchi,59680162B24167581171767,Bauchi,0.9999999999999998,NGA
27671186B50148357657004,Kano,59680162B36976404849364,Ungogo,0.9999999999999998,NGA
27671186B69054806776702,Yobe,59680162B46130456424051,Potiskum,0.9999999999999998,NGA
46179711B66630674459803,Cairo Governorate,37247803B60267904610722,Madinat Nasr-2,0.9999999999999998,EGY
98794003B39565856515381,Departamento de San Salvador,79315794B91995103964553,Soyapango,0.9999999999999998,SLV
86620642B33888251991816,South Darfur,16777658B77538778882228,Nyala Shimal,0.9999999999999998,SDN
70912109B8393927546319,Sindh,60131773B20597403673155,Tando Allahyar,0.9999999999999998,PAK
