tuff_id,clean_link,osm_type,osm_id,unique_id
67788,https://www.openstreetmap.org/way/496108585,way,496108585,292
66338,https://www.openstreetmap.org/way/44131407,way,44131407,293
66339,https://www.openstreetmap.org/way/44131407,way,44131407,294
55584,https://www.openstreetmap.org/way/37535892,way,37535892,295
55589,https://www.openstreetmap.org/way/37535892,way,37535892,296
62745,https://www.openstreetmap.org/node/3197529881,node,3197529881,297
73304,https://www.openstreetmap.org/way/28429017,way,28429017,298
62222,https://www.openstreetmap.org/way/206445990,way,206445990,299
62223,https://www.openstreetmap.org/way/206445990,way,206445990,300
62224,https://www.openstreetmap.org/way/206445990,way,206445990,301
71596,https://www.openstreetmap.org/way/173225413,way,173225413,302
58385,https://www.openstreetmap.org/way/374036050,way,374036050,303
53527,https://www.openstreetmap.org/way/509211738,way,509211738,304
54217,https://www.openstreetmap.org/way/330906531,way,330906531,305
53528,https://www.openstreetmap.org/node/3729768965,node,3729768965,306
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.2885%2C81.0844%3B6.2653%2C80.9648,directions,,307
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.0983%2C80.8849%3B6.2138%2C80.9434,directions,,308
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.2703%2C81.0170%3B6.3352%2C81.0016,directions,,309
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.3180%2C80.9986%3B6.3340%2C80.8545,directions,,310
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=5.9921%2C80.4972%3B6.0693%2C80.7419,directions,,311
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.3219%2C81.1255%3B6.1565%2C81.0947,directions,,312
53529,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=6.0562%2C80.7267%3B6.2064%2C80.8996,directions,,313
53567,https://www.openstreetmap.org/way/406572724,way,406572724,314
53566,https://www.openstreetmap.org/way/891545685,way,891545685,315
53566,https://www.openstreetmap.org/way/378273481,way,378273481,316
53679,https://www.openstreetmap.org/way/287215555,way,287215555,317
56680,https://www.openstreetmap.org/way/310497770,way,310497770,318
56680,https://www.openstreetmap.org/node/90173492,node,90173492,319
56680,https://www.openstreetmap.org/way/200437958,way,200437958,320
64634,https://www.openstreetmap.org/node/610950755,node,610950755,321
53786,https://www.openstreetmap.org/way/171373569,way,171373569,322
53786,https://www.openstreetmap.org/way/661943994,way,661943994,323
53786,https://www.openstreetmap.org/way/529811068,way,529811068,324
71143,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=37.9594%2C70.2655%3B38.3852%2C71.1668,directions,,325
53787,https://www.openstreetmap.org/way/572748372,way,572748372,326
70407,https://www.openstreetmap.org/way/820102660,way,820102660,327
71757,https://www.openstreetmap.org/way/337361201,way,337361201,328
62177,https://www.openstreetmap.org/node/3118333382,node,3118333382,329
63109,https://www.openstreetmap.org/way/167365445,way,167365445,330
72406,https://www.openstreetmap.org/way/800758668,way,800758668,331
72406,https://www.openstreetmap.org/way/228164855,way,228164855,332
72429,https://www.openstreetmap.org/way/49369646,way,49369646,333
49242,https://www.openstreetmap.org/way/303116526,way,303116526,334
62890,https://www.openstreetmap.org/way/303116526,way,303116526,335
56474,https://www.openstreetmap.org/relation/7304421,relation,7304421,336
56669,https://www.openstreetmap.org/way/698066641,way,698066641,337
56424,https://www.openstreetmap.org/way/95183242,way,95183242,338
67686,https://www.openstreetmap.org/way/181081996,way,181081996,339
67289,https://www.openstreetmap.org/way/702424713,way,702424713,340
67286,https://www.openstreetmap.org/relation/7756086,relation,7756086,341
66402,https://www.openstreetmap.org/way/31823030,way,31823030,342
66793,https://www.openstreetmap.org/way/167567708,way,167567708,343
66794,https://www.openstreetmap.org/way/27830376,way,27830376,344
72686,https://www.openstreetmap.org/way/465950345,way,465950345,345
72686,https://www.openstreetmap.org/way/495666770,way,495666770,346
54040,https://www.openstreetmap.org/way/98817546,way,98817546,347
40326,https://www.openstreetmap.org/way/465950345,way,465950345,348
40326,https://www.openstreetmap.org/way/495666770,way,495666770,349
72174,https://www.openstreetmap.org/relation/2458136,relation,2458136,350
53686,https://www.openstreetmap.org/way/188201667,way,188201667,351
53686,https://www.openstreetmap.org/way/956031906,way,956031906,352
54144,https://www.openstreetmap.org/way/880104325,way,880104325,353
54385,https://www.openstreetmap.org/way/881847801,way,881847801,354
54490,https://www.openstreetmap.org/way/913524955,way,913524955,355
63198,https://www.openstreetmap.org/way/41958385,way,41958385,356
63214,https://www.openstreetmap.org/relation/9684072,relation,9684072,357
64799,https://www.openstreetmap.org/node/4369430193,node,4369430193,358
59154,https://www.openstreetmap.org/way/288801150,way,288801150,359
57092,https://www.openstreetmap.org/way/251322800,way,251322800,360
62215,https://www.openstreetmap.org/way/366879850,way,366879850,361
62215,https://www.openstreetmap.org/way/399300868,way,399300868,362
62405,https://www.openstreetmap.org/way/391946437,way,391946437,363
53635,https://www.openstreetmap.org/way/199999770,way,199999770,364
86378,https://www.openstreetmap.org/way/42656182,way,42656182,365
52335,https://www.openstreetmap.org/way/42656182,way,42656182,366
66128,https://www.openstreetmap.org/way/369730252,way,369730252,367
53202,https://www.openstreetmap.org/way/256851571,way,256851571,368
43781,https://www.openstreetmap.org/node/514531602,node,514531602,369
53195,https://www.openstreetmap.org/relation/11704233,relation,11704233,370
65750,https://www.openstreetmap.org/relation/422607,relation,422607,371
65753,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-9.77646%2C19.13635%3B-9.15313%2C19.28256,directions,,372
65754,https://www.openstreetmap.org/relation/1802545,relation,1802545,373
65754,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-13.73885%2C15.06197%3B-14.82532%2C14.54594,directions,,374
65754,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-14.8253%2C14.5459%3B-14.7383%2C15.0289,directions,,375
65758,https://www.openstreetmap.org/node/279010365,node,279010365,376
66866,https://www.openstreetmap.org/way/234796859,way,234796859,377
66869,https://www.openstreetmap.org/node/279009752,node,279009752,378
66871,https://www.openstreetmap.org/way/234770604,way,234770604,379
67417,https://www.openstreetmap.org/relation/422607,relation,422607,380
68708,https://www.openstreetmap.org/node/1645765148,node,1645765148,381
73546,https://www.openstreetmap.org/node/5469362547,node,5469362547,382
73547,https://www.openstreetmap.org/node/1088429635,node,1088429635,383
73548,https://www.openstreetmap.org/node/5366016395,node,5366016395,384
73549,https://www.openstreetmap.org/node/2179466672,node,2179466672,385
73550,https://www.openstreetmap.org/node/2129811924,node,2129811924,386
73551,https://www.openstreetmap.org/node/1092274594,node,1092274594,387
73552,https://www.openstreetmap.org/relation/1802539,relation,1802539,388
73553,https://www.openstreetmap.org/node/2107764052,node,2107764052,389
73554,https://www.openstreetmap.org/relation/422660,relation,422660,390
73555,https://www.openstreetmap.org/node/4459492689,node,4459492689,391
73556,https://www.openstreetmap.org/node/2128857252,node,2128857252,392
73560,https://www.openstreetmap.org/node/668897842,node,668897842,393
73561,https://www.openstreetmap.org/node/7942005484,node,7942005484,394
73562,https://www.openstreetmap.org/node/1416900513,node,1416900513,395
73563,https://www.openstreetmap.org/node/929115276,node,929115276,396
73564,https://www.openstreetmap.org/relation/11162252,relation,11162252,397
73565,https://www.openstreetmap.org/node/881439559,node,881439559,398
73567,https://www.openstreetmap.org/node/668065028,node,668065028,399
73572,https://www.openstreetmap.org/node/279010365,node,279010365,400
73636,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-11.8480%2C15.3509%3B-11.8533%2C15.0476,directions,,401
73657,https://www.openstreetmap.org/way/591162287,way,591162287,402
73658,https://www.openstreetmap.org/way/234796859,way,234796859,403
73904,https://www.openstreetmap.org/node/2051103707,node,2051103707,404
73907,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-9.2527%2C14.1049%3B-9.6864%2C14.4232,directions,,405
73908,https://www.openstreetmap.org/relation/422659,relation,422659,406
73909,https://www.openstreetmap.org/way/325329240,way,325329240,407
73914,https://www.openstreetmap.org/relation/1802545,relation,1802545,408
